team_a,team_b
South Africa,Canada
Brazil,Japan
Germany,Paraguay
Netherlands,Morocco
Ivory Coast,Norway
France,Sweden
Mexico,Ecuador
England,DR Congo
Belgium,Senegal
United States,Bosnia and Herzegovina
Spain,Austria
Portugal,Croatia
Switzerland,Algeria
Australia,Egypt
Argentina,Cape Verde
Colombia,Ghana
